Issue,Section,Page,NumPages,ItemTitle,ItemType,OriginalContent,AuthorName,AuthorTitle
1,Hear the World: A collection of quotes from friend and foe,4,1,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
1,The Operation of 'Umar al-Faruq al-Nigiri in Response to the American Aggression on Yemen,5,1,The Operation of 'Umar al-Faruq al-Nigiri in Response to the American Aggression on Yemen,News,0,Al-Qaeda in the Arabian Peninsula,NA
1,The Chaste of Buraydah in the Prisons of Tyrants,6,1,The Chaste of Buraydah in the Prisons of Tyrants,News,0,Al-Qaeda in the Arabian Peninsula,NA
1,Questions we all should be asking,7,1,Questions we all should be asking,News,1,NA,NA
1,The Way to Save the Earth,8,3,The Way to Save the Earth,Ideology,0,Usama bin Laden,Shaykh
1,Message to the People of Yemen,11,1,Message to the People of Yemen,Ideology,0,Ayman al-Zawahiri,Dr.
1,News Flash,12,1,News Flash,News,1,NA,NA
1,"Interview with Shaykh Abu Basir, the Head of al-Qaidah in the Arabian Peninsula",13,5,"Interview with Shaykh Abu Basir, the Head of al-Qaidah in the Arabian Peninsula",Interviews,1,Al-Malahem,NA
1,Ready to purchase your favorite shoes?,18,1,Ready to purchase your favorite shoes?,Advertisement,NA,NA,NA
1,The West Should Ban the Niqab Covering Its Real Face,19,2,The West Should Ban the Niqab Covering Its Real Face,Opinion,1,Yahya Ibrahim,NA
1,The Cartoon Crusade,23,2,Timeline of Events pertaining to the cartoons,History,1,NA,NA
1,The Cartoon Crusade,25,1,The Dust will never settle down,Strategy,NA,NA,NA
1,The Cartoon Crusade,26,3,May our souls be sacrified for you!,Ideology,1,Anwar al-Awlaki,Shaykh
1,From Usamah to Obama,29,1,From Usamah to Obama,Ideology,0,Usama bin Laden,Shaykh
1,"O Martyr, You Have Illuminated!",30,1,"O Martyr, You have illuminated!",Poetry,1,NA,NA
1,Open Source Jihad,33,8,Make a bomb in the kitchen of your Mom,How-To Guides,1,AQ Chef,NA
1,Open Source Jihad,41,4,How to Use Asrar al-Mujahideen: Sending and Receiving Encrypted Messages,How-To Guides,1,Terr0r1st,NA
1,What to Expect in Jihad (Part 1),45,3,What to Expect in Jihad (Part 1),How-To Guides,1,Mukhtar Hassan,NA
1,The Jihadi Experiences: the Schools of Jihad,48,7,The Jihadi Experiences: the Schools of Jihad,History,1,Abu Musab ab al-Suri,NA
1,The 6 Calls of al-Anfal,54,1,The 6 Calls of al-Anfal,Ideology,1,Umar Hussain,Shaykh
1,Don't Be Sad: Our Brothers in al-Shabab al-Mujahidin,55,1,Don't Be Sad: Our Brothers in al-Shabab al-Mujahidin,Ideology,0,Abu Atta (al-Shabab al-Mujahidin),NA
1,Shaykh Anwar's Message to the American People and Muslims in the West,56,3,Shaykh Anwar's Message to the American People and Muslims in the West,Ideology,0,Anwar al-Awlaki,Shaykh
1,Shaykh Abu Basir said,59,1,Shaykh Abu Basir said,Ideology,0,Abu Basir,Shaykh
1,The Fight Over the Mountains,60,3,The Fight Over the Mountains,Testimony,1,Adnan Muhammad Ali as-Saigh,NA
1,Poem for Umar al-Faruq,63,1,Poem for Umar al-Faruq,Poetry,1,NA,NA
1,"O Allah, Free the Muslim Prisoners",64,1,"O Allah, Free the Muslim Prisoners",Eulogy/Martyrology,1,NA,NA
1,America and the Final Trap (al-Malahem Media),66,1,America and the Final Trap (Al-Malahem Media),Advertisement,NA,NA,NA
2,Hear the World: A collection of quotes from friend and foe,5,1,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
2,News Flash,6,2,News Flash,News,1,NA,NA
2,Questions we should be asking,8,1,Questions we should be asking,News,1,NA,NA
2,Inspire Feedback: A chance for the world to respond,9,1,Inspire Feedback: A chance for the world to respond,News,0,Various,NA
2,Until we taste what Hamza ibn Abdul Muttalib tasted,10,1,Until we taste what Hamza ibn Abdul Muttalib tasted,Ideology,0,Usama bin Laden,Shaykh
2,My Life in Jihad: The Story of Commander Uthman al-Ghamidi,11,6,My Life in Jihad: The Story of Commander Uthman al-Ghamidi,Testimony,1,Uthman al-Ghamidi,Commander
2,The Jihadi Experiences: The Open Fronts and Individual Initiative,17,5,The Jihadi Experiences: The Open Fronts and Individual Initiative,Strategy,1,Abu Musab al-Suri,NA
2,Don't seek help from materialism,22,1,Don't seek help from materialism,Advertisement,NA,NA,NA
2,Obama's Ploy and the peak of Islam,23,1,Obama's Ploy and the peak of Islam,Ideology,1,Ibrahim al-Banna,Shaykh
2,What to Expect in Jihad (Part 2),24,3,What to Expect in Jihad (Part 2),How-To Guides,1,Mukhtar Hassan,NA
2,The Operations of Abyan in Images,27,5,The Operations of Abyan in Images,Photography,NA,Al-Malahem,NA
2,"Dr. Ayman al-Zawahiri, may Allah preserve him, said",32,1,"Dr. Ayman al-Zawahiri, may Allah preserve him, said",Ideology,0,Ayman al-Zawahiri,Dr.
2,The New Mardin Declaration,33,8,The New Mardin Declaration: An Attempt at Justifying the New World Order,Ideology,1,Anwar al-Awlaki,Shaykh
2,DUNYA,41,1,DUNYA,Advertisement,NA,NA,NA
2,"Interview with Shaykh Abu Sufyan, the Vice Amir of al Qaeda in the Arabian Peninsula",42,3,"Interview with Shaykh Abu Sufyan, the Vice Amir of al Qaeda in the Arabian Peninsula",Interviews,1,Al-Malahem,NA
2,I am proud to be a traitor to America,45,5,I am proud to be a traitor to America,Testimony,1,Samir Khan,NA
2,The Crusaders Graveyard,50,1,The Crusaders Graveyard (Al-Kataib News Channel),Advertisement,NA,NA,NA
2,Open Source Jihad,53,2,The Ultimate mowing machine,How-To Guides,1,Yahya Ibrahim,NA
2,Open Source Jihad,55,3,Tips for our brothers in the United Snakes of America,How-To Guides,1,Yahya Ibrahim,NA
2,Open Source Jihad,58,2,Asrar al-Mujahideen 2.0 extras,How-To Guides,1,Terr0r1st,NA
2,Guidance of Qur'an,60,3,Do you think…,Ideology,1,Umar Hussain,Shaykh
2,A Call to Islam,63,1,A Call to Islam,Ideology,1,Hazim Noor,NA
2,The Prize awaiting the Shahid,64,1,The Prize awaiting the Shahid,Ideology,0,Anwar al-Awlaki,Shaykh
2,O Hesitant one: It's an obligation!,65,1,O Hesitant one: It's an obligation!,Ideology,0,Abu Dujanah al-Khurasani,NA
2,"O my Ummah, be happy",67,1,"O my Ummah, be happy",Poetry,0,Usama bin Laden,Shaykh
2,"An Allah selects the martyrs, they only came to journey to their Lord (Al-Malahem)",68,1,"An Allah selects the martyrs, they only came to journey to their Lord (Al-Malahem)",Advertisement,NA,Al-Malahem,NA
2,Legitimate Demands 2,69,2,Legitimate Demands: Barack's Dilemma,Ideology,0,Adam Yahiye Gadahn,NA
2,Please excuse me mother,71,1,Please excuse me mother,Poetry,1,NA,NA
3,"O Allah, Free the Muslim Prisoners",21,1,"O Allah, Free the Muslim Prisoners",Eulogy/Martyrology,1,NA,NA
3,Operation Hemorrhage,4,1,Operation Hemorrhage,News,0,Al-Qaeda in the Arabian Peninsula,NA
3,9/3/2010.,5,1,9/3/2010.,Advertisement,NA,NA,NA
3,Questions We Should be Asking,6,1,Questions We Should be Asking,News,1,NA,NA
3,The Objectives of Operation Hemorrhage,7,1,The Objectives of Operation Hemorrhage,Strategy,1,NA,Head of Foreign Operations
3,Exclusive Images,8,1,Exclusive Images,Photography,NA,Al-Malahem,NA
3,Operation Hemorrhage: An Operation of Leverage,9,1,Operation Hemorrhage: An Operation of Leverage,Advertisement,NA,NA,NA
3,Tawaghit Exposed,10,2,Tawaghit Exposed,Ideology,1,Ibrahim al-Banna,Shaykh
3,What Can President Ali Abdullah Saleh Do About His Failed State?,12,1,What Can President Ali Abdullah Saleh Do About His Failed State?,Advertisement,NA,NA,NA
3,Technical Details,13,2,Technical Details,Strategy,1,Ikrimah al-Mujahir,Explosives Department
3,"""4200""",15,1,"""4200""",Strategy,1,Yahya Ibrahim,NA
3,Leverage,16,1,Leverage,Poetry,1,NA,NA
3,Hear the World: A collection of quotes from friend and foe,17,3,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
3,A Special Thanks To,20,1,A Special Thanks To,Advertisement,NA,Al-Malahem,NA
3,"O Allah, Free the Muslim Prisoners",21,1,"O Allah, Free the Muslim Prisoners",Eulogy/Martyrology,1,NA,NA
4,Operation for Defending Ahl As-Sunnah,6,1,Operation for Defending Ahl As-Sunnah,News,0,Al-Qaeda in the Arabian Peninsula,NA
4,News Flash,7,1,News Flash,News,1,NA,NA
4,Hear the World: A collection of quotes from friend and foe,8,2,Hear the World: A collection of quotes from friend and foe,News,0,NA,NA
4,Inspire Feedback: A chance for the world to respond,10,1,Inspire Feedback: A chance for the world to respond,News,0,Various,NA
4,Inspire Reactions: Government & media responses,11,1,Inspire Reactions: Government & media responses,News,0,Various,NA
4,The Central Issue,12,5,The Central Issue,Opinion,1,Samir Khan,NA
4,Know that Jihad is your duty,17,1,Know that Jihad is your duty,Ideology,0,Adam Yahiye Gadahn,NA
4,In order that they taste some of what we tasted,18,2,In order that they taste some of what we tasted,Ideology,0,Usama bin Laden,Shaykh
4,Q&A with Shaykh Adil al-Abbab on targeting non-Muslim civilians and Yemeni soldiers,20,4,Q&A with Shaykh Adil al-Abbab on targeting non-Muslim civilians and Yemeni soldiers,Ideology,1,Adil al-Abbab,Shaykh
4,Roshanara and Taimour: Followers of the borderless loyalty,24,1,Roshanara and Taimour: Followers of the borderless loyalty,Eulogy/Martyrology,1,Muhammad al-Sanaani,NA
4,What Will You Choose?,25,1,What Will You Choose?,Advertisement,NA,NA,NA
4,Which Is Better: Matyrdom or Victory?,26,3,Which Is Better: Matyrdom or Victory?,Ideology,1,Abu Khowla,NA
4,The Jihad in Abyan,29,2,The Jihad in Abyan,Testimony,1,Abu Zakaria al-Eritri,NA
4,History and Strategy,31,5,The Jihadi Experiences: The Military Theory of Open Fronts,Strategy,1,Abu Musab al-Suri,NA
4,Spying,36,1,Spying,Advertisement,NA,NA,NA
4,Open Source Jihad,39,3,Destroying Buildings,How-To Guides,1,AQ Chef,NA
4,Open Source Jihad,42,2,Training with the AK,How-To Guides,1,Abu Saleh,NA
4,Open Source Jihad,44,3,Advice for those who want to help al-Malahem Media,How-To Guides,1,Terr0r1st,NA
4,Repulsion of Aggression,47,1,Repulsion of Aggression,Advertisement,NA,Al-Malahem,NA
4,Why did I choose al Qaeda?,48,3,Why did I choose al Qaeda?,Ideology,0,Abu Musab al-Awlaki,Shaykh
4,"Lemme Guess, You're UPS'd?",51,1,"Lemme Guess, You're UPS'd?",Advertisement,NA,NA,NA
4,What to Expect in Jihad (Part 3),52,2,What to Expect in Jihad (Part 3),How-To Guides,1,Mukhtar Hassan,NA
4,The sword is a must,54,1,The sword is a must,Ideology,0,Hamud bin Uqla al-Shuaybi,Shaykh
4,The Ruling on Dispossessing the disbelievers wealth in Dar al-Harb,55,6,The Ruling on Dispossessing the disbelievers wealth in Dar al-Harb,Ideology,1,Anwar al-Awlaki,Shaykh
4,Jihad Today Jannah Tomorrow,61,1,Jihad Today Jannah Tomorrow,Advertisement,NA,NA,NA
4,And inspire the believers,62,1,And inspire the believers,Poetry,1,NA,NA
4,The call of the Qur'an,63,1,The call of the Qur'an,Ideology,1,Hazim Noor,NA
4,New Arabic Releases,64,1,New Arabic Releases,Advertisement,NA,Al-Malahem,NA
4,"O Allah, Free the Muslim Prisoners",66,1,"O Allah, Free the Muslim Prisoners",Eulogy/Martyrology,1,NA,NA
5,News Flash,6,1,News Flash,News,1,NA,NA
5,Hear the World: A collection of quotes from friend and foe,7,1,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
5,Inspire Reactions: Government & media responses,8,1,Inspire Reactions: Government & media responses,News,0,Various,NA
5,Inspire Responses: Responding to inquiries,9,1,Inspire Responses: Responding to inquiries,Other,1,NA,NA
5,The Middle path and the Enemy's plot,13,3,The Middle path and the Enemy's plot,Ideology,0,Abu Yahya al-Libi,Shaykh
5,A Reply to a Question: On Yemen's Assistance and Its People,16,6,A Reply to a Question: On Yemen's Assistance and Its People,Ideology,1,Abu Muhammad al-Maqdisi,Shaykh
5,Open Source Jihad,24,2,Training with the AK (2),How-To Guides,1,Abu Saleh,NA
5,An Interview with Shaykh Abu Hurairah: The Military Commander of al-Qaeda in the Arabian Peninsula,26,3,An Interview with Shaykh Abu Hurairah: The Military Commander of al-Qaeda in the Arabian Peninsula,Interviews,1,Al-Malahem,NA
5,The Jihadi Experiences: Individual Terrorism Jihad and the Global Islamic Resistance Units,29,4,The Jihadi Experiences: Individual Terrorism Jihad and the Global Islamic Resistance Units,Ideology,1,Abu Musab al-Suri,NA
5,"The Revolution: Guidance, Advice and Clarity",34,2,The short and long-term plans after protests,Ideology,0,Ayman al-Zawahiri,Dr.
5,"The Revolution: Guidance, Advice and Clarity",36,1,The Clown of the Tawaghit,History,1,NA,NA
5,"The Revolution: Guidance, Advice and Clarity",37,2,The Overlooked Backdrop,Ideology,0,Ayman al-Zawahiri,Dr.
5,"The Revolution: Guidance, Advice and Clarity",39,4,The Oppressors' End,Ideology,1,Muhammad ibn Abd al-Qadir al-Murshedi,Shaykh
5,"The Revolution: Guidance, Advice and Clarity",43,2,The way forward,Opinion,1,Abu Suhail,NA
5,"The Revolution: Guidance, Advice and Clarity",45,2,The Egyptian,Opinion,1,Samir Khan,NA
5,"The Revolution: Guidance, Advice and Clarity",47,2,Al-Saud: Lodging a Criminal,Ideology,0,Ibrahim al-Rubaysh,Shaykh
5,"The Revolution: Guidance, Advice and Clarity",49,1,"Hey Ali, Mubarak Just Fell…",Advertisement,NA,NA,NA
5,"The Revolution: Guidance, Advice and Clarity",50,4,The Tsunami of Change,History,1,Anwar al-Awlaki,Shaykh
5,"The Revolution: Guidance, Advice and Clarity",54,1,"The Revolution: Guidance, Advice and Clarity",Ideology,0,Abdullah an-Nafisi,Dr.
5,Accessing Jihad Network,55,1,Accessing Jihad Network,Advertisement,NA,Jihad 2.0,NA
5,My life in Fallujah,56,4,My life in Fallujah,Testimony,1,Hashim al-Hindi,NA
5,AQAP Military Report: From the Period of Muharram the 7th until the 4th of Safar,60,1,AQAP Military Report: From the Period of Muharram the 7th until the 4th of Safar,News,1,NA,NA
5,"Abyan, Yemen: In search for martyrdom…",61,1,"Abyan, Yemen: In search for martyrdom…",Advertisement,NA,NA,NA
5,Why did I choose al Qaeda?,62,3,Why did I choose al Qaeda? (Part 2),Ideology,0,Abu Musab al-Awlaki,Shaykh
5,What to Expect in Jihad (Part 4),65,2,What to Expect in Jihad (Part 4),How-To Guides,1,Mukhtar Hassan,NA
5,Al-Malahem Media New Releases,67,1,Al-Malahem Media New Releases,Advertisement,NA,Al-Malahem,NA
5,There was a leader in Egypt,68,1,There was a leader in Egypt,Poetry,1,NA,NA
6,The Martyrdom of Shaykh Usama,7,2,The Martyrdom of Shaykh Usama,News,0,Al-Qaeda in the Arabian Peninsula,NA
6,Hear the World: A collection of quotes from friend and foe,9,1,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
6,News Flash,10,1,News Flash,News,1,NA,NA
6,Inspire Reactions: Government & media responses,11,1,Inspire Reactions: Government & media responses,News,0,Various,NA
6,Inspire Responses: Responding to inquiries,12,2,Inspire Responses: Responding to inquiries,Other,1,NA,NA
6,It's ready. Just needs your first step.,14,1,It's ready. Just needs your first step.,Advertisement,NA,NA,NA
6,The Jihadi Experiences: Conditions for the Resistance to Use Individual Jihad,15,1,The Jihadi Experiences: Conditions for the Resistance to Use Individual Jihad,Strategy,1,Abu Musab al-Suri,NA
6,Shuhada Special,17,2,Abu Ali al-Harithi: The veteran lion,Eulogy/Martyrology,1,Muhannad,NA
6,Shuhada Special,19,1,Ammar al-Waili: A firm will,Eulogy/Martyrology,1,Ibrahim,NA
6,Shuhada Special,20,5,Fawaz al-Maribi: Know this man,Eulogy/Martyrology,1,Samir Khan,NA
6,Shuhada Special,25,2,Ali Saleh: An influence to our hearts,Eulogy/Martyrology,1,Abu Khalid,NA
6,Shuhada Special,27,3,Abu Hatim: Sincerity of a hero,Eulogy/Martyrology,1,Abu al-Qaqa,NA
6,Shuhada Special,30,1,Abu Hashim: Peace for the contented,Eulogy/Martyrology,1,Abu Yasir,NA
6,A Special Thanks To,31,1,A Special Thanks To,Advertisement,NA,Al-Malahem,NA
6,Why Did I Choose al-Qaeda? (part 3),32,3,Why Did I Choose al Qaeda? (Part 3),Ideology,0,Abu Musab al-Awlaki,Shaykh
6,Open Source Jihad,37,2,Training with the AK,How-To Guides,1,Abu Saleh,NA
6,Open Source Jihad,39,7,Making Acetone Peroxide,How-To Guides,1,Dr. Khateer,NA
6,An angry Weiner head.,46,1,An angry Weiner head.,Advertisement,NA,NA,NA
6,"Sadness, Contentment and Aspiration",47,4,"Sadness, Contentment and Aspiration",Eulogy/Martyrology,1,Samir Khan,NA
6,An Address to the Revolutionaries,51,3,An Address to the Revolutionaries,Ideology,0,Usama bin Laden,Shaykh
6,Progeny of the exceptional,54,1,Progeny of the exceptional,Poetry,1,NA,NA
6,It is either Jihad or Disgrace. So Choose.,55,2,It is either Jihad or Disgrace. So Choose.,Ideology,0,Abu Yahya al-Libi,Shaykh
6,All my followers will enter Paradise,57,1,All my followers will enter Paradise,Advertisement,NA,NA,NA
6,A Question on takfir,58,1,A Question on takfir,Ideology,0,Abd al-Rahman Atiyatullah,Shaykh
6,My Beloved Prisoners,59,1,My Beloved Prisoners,Poetry,1,Umm Rashasha,NA
7,Don't let America become great in your eyes,4,0.5,Don't let America become great in your eyes,Ideology,0,Usama bin Laden,Shaykh
7,Iran and the Conspiracy Theories,4,0.5,Iran and the Conspiracy Theories,Opinion,1,Abu Suhail,NA
7,The Arab Intifada,5,1,The Arab Intifada,Advertisement,NA,Al-Malahem,NA
7,Hear the World: A collection of quotes from friend and foe,6,2,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
7,The Media Conflict,8,4,The Media Conflict,Opinion,1,Samir Khan,NA
7,The Greatest Special Operation of All Time: The Expeditions of Washington D.C. and New York,12,3,The Greatest Special Operation of All Time: The Expeditions of Washington D.C. and New York,History,1,Yahya Ibrahim,NA
7,Indeed your brothers in Palestine are eagerly awaiting,15,1,Indeed your brothers in Palestine are eagerly awaiting,Advertisement,NA,NA,NA
7,A Decade in Pictures: From 9/11 Till Today,16,20,A Decade in Pictures: From 9/11 Till Today,Photography,NA,NA,NA
7,Targeting the Populations of Countries that are at War with the Muslims,36,1,Targeting the Populations of Countries that are at War with the Muslims,Advertisement,NA,Al-Malahem,NA
8,Latest and Opinion,3,0.5,A repeat of the Hama debacle?,Opinion,1,Muhannad,NA
8,Latest and Opinion,3,0.5,Blended duality: Muslim and American?,Opinion,1,Samir Khan,NA
8,Latest and Opinion,4,2,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
8,Latest and Opinion,6,2,Inspire Responses: Responding to inquiries,Other,1,NA,NA
8,Latest and Opinion,7,0.5,Questions we should be asking,News,1,NA,NA
8,Latest and Opinion,8,1,News Flash,News,1,NA,NA
8,Latest and Opinion,10,2,Jihadisphere,News,1,NA,NA
8,Shuhada Arabian Peninsula,13,3,The martyrdom of Commander Abu Ayman,Eulogy/Martyrology,1,Ibrahim al-Banna,Shaykh
8,Shuhada Arabian Peninsula,16,1,"Muwahid: Pious, Hospitable and Stouthearted",Eulogy/Martyrology,1,Abu al-Abbas,NA
8,Shuhada Arabian Peninsula,17,1,Aaidh al-Shebwani: The Great Ansari,Eulogy/Martyrology,1,Abu al-Qaqa,NA
8,History and Strategy,18,2,The Jihadi Experiences: The main arenas of operation for individual jihad,Strategy,1,Abu Musab al-Suri,NA
8,History and Strategy,20,6,Lust and Fear: An insight into the Pakistani Army and Its Role in the Crusades,Strategy,1,Abu Obaidah al-Islamabadi,NA
8,Whose doing the Zanga Zanga now?,26,1,Whose doing the Zanga Zanga now?,Advertisement,NA,NA,NA
8,Open Source Jihad,29,3,Training with the handgun,How-To Guides,1,Abu Saleh,NA
8,Open Source Jihad,33,8,Remote Control Detonation,How-To Guides,1,Dr. Khateer,NA
8,Targeting the Populations of Countries that are at War with the Muslims,40,8,Targeting the Populations of Countries that are at War with the Muslims,Ideology,1,Anwar al-Awlaki,Shaykh
8,There's Only One Way,48,1,There's Only One Way,Advertisement,NA,NA,NA
8,What do they all have in common?,49,1,What do they all have in common?,Advertisement,NA,NA,NA
8,Manhaj Review,50,4,Why did I choose al Qaeda? (Part 4),Ideology,0,Abu Musab al-Awlaki,Shaykh
8,Manhaj Review,54,2,Take from their guidance for there is no refuge from jihad,Ideology,0,Abu Yahya al-Libi,Shaykh
8,Manhaj Review,56,1,Freedom from blind following,Ideology,0,Usama bin Laden,Shaykh
8,The Arab Intifada,57,1,The Arab Intifada,Advertisement,NA,Al-Malahem,NA
8,Life and Society,58,2,The unique trait of al-muminin,Other,1,Ayub Sideeq,NA
8,Life and Society,59,0.5,Losing a friend in jihad,Other,1,NA,NA
8,Convoy of Martyrs,60,1,Convoy of Martyrs,Advertisement,NA,Al-Malahem,NA
8,Art and Misc.,61,1,The hymn of my life,Poetry,1,NA,NA
9,Hear the World: A collection of quotes from friend and foe,5,1,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
9,Inspire Continues to Inspire,6,1,Inspire Continues to Inspire,News,1,Ibrahim al-Rubaysh,Shaykh
9,Questions we should be asking,7,0.5,Questions we should be asking,News,1,NA,NA
9,The Corner,7,0.5,Where are the people of al-Sham?,Opinion,1,Abu Suhail,NA
9,Build bridges with the right wing?,7,0.5,Build bridges with the right wing?,Opinion,1,Khalid,NA
9,Shuhada Special,9,5,My story with Al Awlaki,Eulogy/Martyrology,1,Harith bin Ghazi al-Nadhari,Shaykh
