Issue,Section,Page,NumPages,ItemTitle,ItemType,OriginalContent,AuthorName,AuthorTitle
9,Shuhada Special,14,6,Samir Khan: The Face of Joy,Eulogy/Martyrology,1,Abu Yazeed,NA
9,"They killed father, they killed son",20,1,"They killed father, they killed son",Opinion,1,Um Ahmed,NA
9,The Path of Honor,21,1,The Path of Honor,Poetry,1,NA,NA
9,This is How We Win and This is How You Lose,22,1,This is How We Win and This is How You Lose,Ideology,1,Abu Hurairah as-Sanaani,Shaykh
9,The Jihadi Experiences: The most important enemy targets aimed at by the individual jihad,23,2,The Jihadi Experiences: The most important enemy targets aimed at by the individual jihad,Strategy,1,Abu Musab al-Suri,NA
9,Stinking Rottenyahu!,25,1,Stinking Rottenyahu!,Advertisement,NA,NA,NA
9,Open Source Jihad,28,2,The convoy of martyrs,How-To Guides,1,NA,NA
9,Open Source Jihad,30,7,It is of your freedom to ignite a firebomb,How-To Guides,1,AQ Chef,NA
9,Open Source Jihad,37,3,Qualities of an Urban Assassin,How-To Guides,1,Uthman Ibn al-Ightiyal,NA
9,Yes We Can,40,1,Yes We Can,Advertisement,NA,NA,NA
9,Do Christian terrorists and the mujahideen have similar goals?,41,1,Do Christian terrorists and the mujahideen have similar goals?,Opinion,1,Mujahid Aziz,NA
9,Why did I choose al Qaeda? (Part 5),42,2,Why did I choose al Qaeda? (Part 5),Ideology,0,Abu Musab al-Awlaki,Shaykh
9,The Day their faces will be turned about in the Fire,44,1,The Day their faces will be turned about in the Fire,Advertisement,NA,NA,NA
9,The Ruling of Burning the Forests in the Land of the Kuffar Enemies,45,4,The Ruling of Burning the Forests in the Land of the Kuffar Enemies,Ideology,1,Harith bin Ghazi al-Nadhari,Shaykh
9,Cowardliness will always be cowardliness even if you consider it to be using wisdom,49,1,Cowardliness will always be cowardliness even if you consider it to be using wisdom,Ideology,1,Abu Yahya al-Libi,Shaykh
9,Spilling Out the Beans,50,3,Spilling Out the Beans,Testimony,1,Anwar al-Awlaki,Shaykh
9,Imbeciles Who Justify Sitting,53,1,Imbeciles Who Justify Sitting,Ideology,1,Abu Sideeq,NA
9,Wining on the Ground,54,5,Wining on the Ground,Opinion,1,Yahya Ibrahim,NA
9,Unremorseful Mujahid,59,1,Unremorseful Mujahid,Opinion,1,Abu Muhammad,NA
9,Draw an impossible smile,60,1,Draw an impossible smile,Poetry,1,NA,NA
10,AQAP Statements,4,1,In Defense of the Honor of the Prophet Muhammad Peace Be Upon Him,News,0,Al-Qaeda in the Arabian Peninsula,NA
10,AQAP Statements,5,1,Regarding the French Crusader Military Intervention in Mali,News,0,Al-Qaeda in the Arabian Peninsula,NA
10,Hear the World: A collection of quotes from friend and foe,6,2,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
10,News Flash,8,1,News Flash,News,1,NA,NA
10,Inspire Reactions: Government & media responses,9,1,Inspire Reactions: Government & media responses,News,0,Various,NA
10,Inspire Responses: Responding to inquiries,10,1.5,Inspire Responses: Responding to inquiries,Other,1,NA,NA
10,Questions we should be asking,11,0.5,Questions we should be asking,News,1,NA,NA
10,The Untold Story,11,0.5,The Untold Story,Opinion,1,Abu Nuh,NA
10,The Dust will never Settle Down,12,1,The Dust will never Settle Down,Poetry,0,Samir Khan,NA
10,Defending the Prophet,12,1,Defending the Prophet,Ideology,0,Ayman al-Zawahiri,Shaykh Dr.
10,Yes We Can,14,1,Yes We Can,Advertisement,NA,NA,NA
10,Wanted Dead or Alive for Crime Against Islam,15,1,Wanted Dead or Alive for Crime Against Islam,Strategy,NA,NA,NA
10,"France, the Imbecile Invader",16,2,"France, the Imbecile Invader",History,1,Abu Abdillah al-Moravid,NA
10,Jihadisphere,18,1,Jihadisphere,Other,1,NA,NA
10,He Takes Among You Martyrs 5,19,1,He Takes Among You Martyrs 5,Advertisement,NA,Al-Malahem,NA
10,"Brother Askar, Abu Yazeed al-Qatary",21,1,"Brother Askar, Abu Yazeed al-Qatary",Eulogy/Martyrology,1,Abu Ziyad al-Muhajir,NA
10,The Jihadi Experiences: The Strategy of Deterring with Terrorism,22,3,The Jihadi Experiences: The Strategy of Deterring with Terrorism,Strategy,1,Abu Musab al-Suri,NA
10,"Whoever does not die by the sword, will die by other means",25,1,"Whoever does not die by the sword, will die by other means",Advertisement,NA,NA,NA
10,The American Army and War Ethics,26,2,The American Army and War Ethics,Ideology,1,Abu Yahya al-Libi,Shaykh
10,From the US Prisons,28,1,From the US Prisons,Testimony,1,Omar Abdur-Rahman,Shaykh
10,Islam: The Solution to Racism,29,1,Islam: The Solution to Racism,Advertisement,NA,NA,NA
10,My Wish: If Only I Was a Mujahid,30,1,My Wish: If Only I Was a Mujahid,Poetry,0,Taiel Haya,NA
10,Women of the Glorious Ummah,31,3,Women of the Glorious Ummah,Opinion,1,Umm Yahya,NA
10,Why Did I Choose al-Qaeda?,34,1.5,Why Did I Choose al-Qaeda?,Ideology,0,Abu Musab al-Awlaki,Shaykh
10,What is al-Qaeda?,35,0.5,What is al-Qaeda?,Ideology,1,Fazul Abdullah,NA
10,From Adam Gadahn,36,3,From Adam Gadahn,Ideology,1,Adam Yahiye Gadahn,NA
10,The National Standing On No Values,39,1,The National Standing On No Values,Advertisement,NA,NA,NA
10,O Who Sits Behind,40,1,O Who Sits Behind,Ideology,1,Abu Ubaydah al-Hadhrami,NA
10,America will never profit from the assassination of Imam Anwar Awlaki,41,1,America will never profit from the assassination of Imam Anwar Awlaki,Opinion,0,"Ansaar Dline, Salafi Media",NA
10,We are all Usama,42,4,We are all Usama,Opinion,1,Yahya Ibrahim,NA
10,To the Knights of Lone Jihad,46,1,To the Knights of Lone Jihad,Ideology,0,Harith bin Ghazi al-Nadhari,Shaykh
10,So fight in the cause of Allah,47,1,So fight in the cause of Allah,Advertisement,NA,NA,NA
10,Jihadu Ummah,48,1,Jihadu Ummah,Advertisement,NA,Al-Malahem,NA
10,Open Source Jihad,51,1,Torching Parked Vehicles,How-To Guides,1,Ibnul Irhab,NA
10,Open Source Jihad,52,4,Causing Road Accidents,How-To Guides,1,AQ Chef,NA
10,Open Source Jihad,56,2,"You Ask, We Answer",How-To Guides,1,AQ Consultant,NA
10,The Battalion of Terror,58,2,The Battalion of Terror,Advertisement,NA,NA,NA
11,Hear the World: A collection of quotes from friend and foe,4,2,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
11,News Flash,6,1,News Flash,News,1,NA,NA
11,Inspire Reactions: Government & media responses,7,1,Inspire Reactions: Government & media responses,News,0,Various,NA
11,Letter to the American Nation,8,2,Letter to the American Nation,Ideology,1,Qassim al-Raymi,Commander
11,Words of Wisdom,10,2,Words of Wisdom,Ideology,0,Various,NA
11,Allah will restrain the evil might of those who disbelieve,12,4,Allah will restrain the evil might of those who disbelieve,Ideology,1,Ibrahim al-Rubaysh,Shaykh
11,Political decisions,16,1,Political decisions,Advertisement,NA,NA,NA
11,Dear American Muslim,17,1,Dear American Muslim,Ideology,1,Jonas the Rebel,NA
11,Inspired by Inspire,18,2,Inspired by Inspire,News,1,Yahya Ibrahim,NA
11,The Inevitable,20,3,The Inevitable,News,1,Abu Ziyad al-Muhajir,NA
11,New Al-Malahem Release,22,0.5,New Al-Malahem Release,Advertisement,NA,Al-Malahem,NA
11,Convoy of Martyrs 2,23,1,Convoy of Martyrs 2,Advertisement,NA,Al-Malahem,NA
11,The Dear Price and the Constant Turmoil,24,2,The Dear Price and the Constant Turmoil,Opinion,1,Muhammad al-Sanaani,NA
11,Tamerlan's SMS to his mom,26,1,Tamerlan's SMS to his mom,Advertisement,NA,NA,NA
11,Why Did I Choose al-Qaeda?,27,1,Why Did I Choose al-Qaeda?,Ideology,0,Abu Musab al-Awlaki,Shaykh
11,Who and Why?,28,4,Who and Why?,Opinion,1,Abu Abdillah al-Moravid,NA
11,AQTweets,32,2,AQTweets,News,0,Various,NA
11,America's Bitter Harvest,34,2,America's Bitter Harvest,Opinion,1,Muhannad J.S.,NA
11,Mujahid's Wish,36,2,Mujahid's Wish,Poetry,NA,Tamerlan 2,NA
12,Hear the World: A collection of quotes from friend and foe,4,2,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
12,Mujahid's Notes,6,2,Mujahid's Notes,News,1,NA,NA
12,Inspire Reactions: Government & media responses,8,1,Inspire Reactions: Government & media responses,News,0,NA,NA
12,Echoes Behind Enemy Lines,9,1,Echoes Behind Enemy Lines,News,0,NA,NA
12,Iman Defeats Arrogance,10,2.5,Iman Defeats Arrogance,Strategy,0,Ayman al-Zawahiri,Dr.
12,Questions we should be asking,12,0.5,Questions we should be asking,News,1,NA,NA
12,Numbers Speak Louder,12,0.5,Numbers Speak Louder,News,1,NA,NA
12,Rumbling Blaze Under Calm Ash,13,1,Rumbling Blaze Under Calm Ash,Ideology,1,Nasser al-Anisi,Shaykh
12,The Arson Jihad,14,1,The Arson Jihad,Poetry,1,NA,NA
12,Sincere Advice from a Mujahir,15,1,Sincere Advice from a Mujahir,Opinion,1,Hafiz al-Uruppi,NA
12,Q&A with Sheikh Anwar al-Awlaki,16,3,Q&A with Sheikh Anwar al-Awlaki,Other,0,Anwar al-Awlaki,Shaykh
12,AQAP Statement,19,1,The Martyrdom of the Leader Hakimullah Mahsud,News,0,Al-Qaeda in the Arabian Peninsula,NA
12,Palestine: Betrayal of Human Conscience,20,6,Palestine: Betrayal of Human Conscience,Testimony,0,Samir Khan,NA
12,The Crusade and the Swap of Stances,26,2,The Crusade and the Swap of Stances,Ideology,1,Ibrahim al-Rubaysh,Shaykh
12,In Hot Pursuit of Mirage,28,2,In Hot Pursuit of Mirage,News,0,Experts,NA
12,City Wolves,30,2,City Wolves,Eulogy/Martyrology,1,Abdulilah Shaye,NA
12,Why Did I Choose al-Qaeda?,32,1.5,Why Did I Choose al-Qaeda?,Ideology,0,Abu Musab al-Awlaki,Shaykh
12,Love without Hate?,33,0.5,Love without Hate?,Ideology,1,Ibnu Taymiyyah,NA
12,Conditions of the Word of Tawheed,34,2,Conditions of the Word of Tawheed,Ideology,1,Harith bin Ghazi al-Nadhari,Shaykh
12,24/7 Terrorism,38,5,24/7 Terrorism,News,1,Muhannad J.S.,NA
12,"The Good, the Lamb, and the Ugly",41,1,"The Good, the Lamb, and the Ugly",Poetry,1,Abu Nuh,NA
12,The Jihadi Experiences: Preparation,42,2,The Jihadi Experiences: Preparation,Ideology,1,Abu Musab al-Suri,Shaykh
12,The Barrier Between: Excerpt from Mashriul Ashwaq,44,2,The Barrier Between: Excerpt from Mashriul Ashwaq,Other,0,Ibnu Nuhaas,NA
12,An Interview with Obama,46,2,An Interview with Obama,Ideology,0,Muhannad J.S.,NA
12,"Mujahidah, Wife of a Mujahid",48,2,"Mujahidah, Wife of a Mujahid",Other,1,Umm Yahya,NA
12,For how long will you live in tension?,50,2,For how long will you live in tension?,Poetry,1,NA,NA
12,Shattered: A Story About Change,52,5,Shattered: A Story About Change,History,1,Abu Abdillah al-Moravid,NA
12,Inspire's Lens,57,1,Inspire's Lens,Photography,NA,NA,NA
12,The End of Safari,58,4,The End of Safari,News,0,A Shabab Mujahid Bro,NA
12,Open Source Jihad,64,6,Car Bombs Inside America,How-To Guides,1,AQ Chef,NA
12,Open Source Jihad,70,2,Car Bombs: Field Data,Strategy,1,AQ Chef,NA
13,"Regarding the Martyrdom of the Mujahid, Sheikh Mukhtar Abu Zubeir, The Amir of Harakat Shabaab Al-Mujahideen",5,1,"Regarding the Martyrdom of the Mujahid, Sheikh Mukhtar Abu Zubeir, The Amir of Harakat Shabaab Al-Mujahideen",News,0,Al-Qaeda in the Arabian Peninsula,NA
13,Inspire Reactions: Government & media responses,6,1.5,Inspire Reactions: Government & media responses,News,0,Various,NA
13,A message for the American people regarding the killing of the hostage Luke Somers,8,1.5,A message for the American people regarding the killing of the hostage Luke Somers,Ideology,1,Nasser al-Anisi,Shaykh
13,Excerpts from al-Malahemn's Q&A Session with Sheikh Nasr al-Anisi,9,0.5,Excerpts from al-Malahemn's Q&A Session with Sheikh Nasr al-Anisi,Ideology,0,Al-Malahem,NA
13,Hear the World: A collection of quotes from friend and foe,10,2,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
13,Letter to the America People,12,3,Letter to the America People,Ideology,0,Ayman al-Zawahiri,Shaykh
13,If You Have the Knowledge and Inspiration All That's Left is to Take Action,15,1,If You Have the Knowledge and Inspiration All That's Left is to Take Action,Advertisement,NA,NA,NA
13,Mujahid's Notes,16,2,Mujahid's Notes,News,1,NA,NA
13,Exclusive Interview with the AQ Chef,18,4,Exclusive Interview with the AQ Chef,Interviews,1,NA,NA
13,The Glad Tidings of Victory,22,3,The Glad Tidings of Victory,History,1,Abu Basir,Shaykh
13,We Tortured Some Folks,25,0.5,We Tortured Some Folks,Advertisement,NA,NA,NA
13,Brainwave,25,0.5,Questions we should be asking,News,1,NA,NA
13,Brainwave,25,0.5,Numbers Speak Louder,News,1,NA,NA
13,Strike the Sea with Your Stick,26,2,Strike the Sea with Your Stick,Testimony,1,Abul Harith al-Iraqi,Shaykh
13,Words of Wisdom,28,2,Words of Wisdom,Ideology,0,Various,NA
13,Independence and Courage,30,1,Independence and Courage,Ideology,0,Shamel Basayev,Commander
13,The Journey of Jihad,31,1,The Journey of Jihad,Advertisement,NA,Al-Malahem,NA
13,Between Yesterday and Tomorrow,32,1.5,Between Yesterday and Tomorrow,Ideology,1,Ibrahim al-Banna,Shaykh
13,New Year: Realities and Aspirations,33,0.5,New Year: Realities and Aspirations,Ideology,0,Anwar al-Awlaki,Shaykh
13,Talk to Inspire: Interview with Abu Dahdah,34,2,Talk to Inspire: Interview with Abu Dahdah,Interviews,1,Al-Malahem,NA
13,Jihad Stories,35,0.5,Jihad Stories,Testimony,1,NA,NA
13,I Am Confused,36,2,I Am Confused,Opinion,1,Abu Ubaydah al-Hadhrami,NA
13,The Word of Tawheed: The Meaning and Pillars of Tawheed,38,2,The Word of Tawheed: The Meaning and Pillars of Tawheed,Ideology,1,Harith bin Ghazi al-Nadhari,Shaykh
13,Remember Me: Ramzi Yusuf,40,2,Remember Me: Ramzi Yusuf,Eulogy/Martyrology,1,NA,NA
13,The Virtues of Inghimaasi,42,4,The Virtues of Inghimaasi,Ideology,1,Ibnu Nuhaas,Imam
13,HUMPTY DUMPTY sat on a wall,46,2,HUMPTY DUMPTY sat on a wall,Advertisement,NA,NA,NA
13,Sincere Advice from a Muhajir 2,48,0.5,Sincere Advice from a Muhajir 2,Testimony,1,Khalid an-Najdi,NA
13,Jihadisphere,49,1,Jihadisphere,Other,1,NA,NA
13,The Battle of Marathon: Message to the 99% of the Ameican People,50,1,The Battle of Marathon: Message to the 99% of the Ameican People,Ideology,1,Abu Abdillah al-Moravid,NA
13,"Farewell, O Hero!",51,1,"Farewell, O Hero!",Poetry,1,Abu Bishr Nassirud Deen Bin Abdullah,Shaykh
13,Q&A with Sheikh Anwar al-Awlaki,52,1.5,Q&A with Sheikh Anwar al-Awlaki,Other,0,Anwar al-Awlaki,Shaykh
13,It's Not Necessary,53,0.5,It's Not Necessary,Advertisement,NA,NA,NA
13,The Story of Abu Rawi as-Swayari,54,1,The Story of Abu Rawi as-Swayari,Eulogy/Martyrology,1,Abu Muhamamd as-Sanaani,NA
13,Inspire's Lens,55,1,Inspire's Lens,Photography,NA,NA,NA
13,10 Useless Matters That Cannot Be Benefited From,56,0.5,10 Useless Matters That Cannot Be Benefited From,Ideology,0,Ibnul Qayyim,NA
13,Facing Fear in Jihad,56,0.5,Facing Fear in Jihad,Testimony,1,Muhsin Ali,NA
13,My Little Son,57,1,My Little Son,Poetry,1,NA,NA
13,destination AIRPORT,58,2,destination AIRPORT,Advertisement,NA,NA,NA
13,Neurotmesis: Cutting the Nerves and Isolating the Head,60,5,Neurotmesis: Cutting the Nerves and Isolating the Head,Strategy,1,External Operations Team,NA
13,No Jihaad Zakaa,65,1,No Jihaad Zakaa,Advertisement,NA,NA,NA
13,Open Source Jihad,66,44,The Hidden Bomb,How-To Guides,1,AQ Chef,NA
13,Just a Thought: How Can They Handle It?,48,0.5,Just a Thought: How Can They Handle It?,Opinion,1,Abu Saleh,NA
14,Statement regarding the blessed Paris operation,5,3,Statement regarding the blessed Paris operation,News,0,Nasser al-Anisi,Shaykh
14,Inspire Reactions: Government & media responses,8,2,Inspire Reactions: Government & media responses,News,0,Various,NA
14,Hear the World: A collection of quotes from friend and foe,10,2,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
14,Mujahid's Notes,12,2,Mujahid's Notes,News,1,NA,NA
14,Words of Wisdom,14,2,Words of Wisdom,Ideology,0,Various,NA
14,Let Your Hearts Be Prepared to the Freedom of Our Actions,16,1.5,Let Your Hearts Be Prepared to the Freedom of Our Actions,Ideology,0,Usama Bin Laden,Shaykh
14,"And Who Can Guarantee Your Freedom, Luz?",17,0.5,"And Who Can Guarantee Your Freedom, Luz?",Advertisement,NA,NA,NA
14,The Blacks in America,18,6,The Blacks in America,History,1,Abdillah al-Moravid,NA
14,Conditions of the Word of Tawheed,24,6,Conditions of the Word of Tawheed,Ideology,1,Harith bin Ghazi al-Nadhari,Shaykh
14,Jihadi Profiles: Suleiman al Halaby,30,2,Jihadi Profiles: Suleiman al Halaby,Eulogy/Martyrology,1,Khalid as-Sanaani,NA
14,Some Things Are Too Beautiful to Be Forgotten,32,2,Some Things Are Too Beautiful to Be Forgotten,Advertisement,NA,NA,NA
14,Remembering Boston,34,3,Remembering Boston,Ideology,1,Qadhi Bishr,NA
14,"A Mountain, But of Ice",37,1,"A Mountain, But of Ice",Opinion,1,Abu Nuh,NA
14,Charlie Hebdo Military Analysis,38,5,Charlie Hebdo Military Analysis,Strategy,1,Ibrahim bin Hassan al-Asiri,NA
14,A Simple Equation,43,1,A Simple Equation,Advertisement,NA,NA,NA
14,"O America, Our response is what you see, not what you hear",44,2,"O America, Our response is what you see, not what you hear",Advertisement,NA,NA,NA
14,But They Never Lost Heart,46,2,But They Never Lost Heart,Ideology,1,Qassim al-Raymi,Shaykh
14,Timeline,48,2,Timeline,History,1,NA,NA
14,The Corner,50,1,The Corner,Opinion,1,Muhsin Ali,NA
14,"If You Return, We Too Shall Return",52,4,"If You Return, We Too Shall Return",Ideology,1,Khalid Umar Batarfi,Shaykh
14,Deliverance from Trials,56,2,Deliverance from Trials,Ideology,1,Zakariya,Shaykh
14,The Unknown Shaheed,58,3,The Unknown Shaheed,Eulogy/Martyrology,1,Abu Zaqariyah,NA
14,Did You Know?,61,1,Did You Know?,Advertisement,NA,NA,NA
14,Open Source Jihad,63,8,Assassination Operations,How-To Guides,1,External Operations Team,NA
14,Open Source Jihad,72,10,Making a Timed Hand Grenade,How-To Guides,1,AQ Chef,NA
14,Open Source Jihad,84,4,Assassinations - Field Tactics,Strategy,1,Reconaissance Team,NA
15,Statement regarding the Burkinafaso Raid,5,2,Statement Regarding the Burkina Faso Raid: When Muslim Africa Takes Revenge for Its Victims,News,0,Al-Qaeda in the Islamic Maghreb,NA
15,Did You Know that 77,7,1,Did You Know that 77,Advertisement,NA,NA,NA
15,Inspire Reactions: Government & media responses,8,2,Inspire Reactions: Government & media responses,News,0,Various,NA
15,Hear the World: A collection of quotes from friend and foe,10,2,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
15,Mujahid's Notes,12,2,Mujahid's Notes,News,1,NA,NA
15,Words of Wisdom,14,2,Words of Wisdom,Ideology,0,Various,NA
15,Let Us Unite for Palestine,16,4,Let Us Unite for Palestine,Ideology,0,Ayman al-Zawahiri,Shaykh
15,A Moment in the Life of Sheikh Usama,20,5,A Moment in the Life of Sheikh Usama,Eulogy/Martyrology,1,Khubeib as-Sudani,Shaykh
15,The Enemy Within,25,1,The Enemy Within,Ideology,1,Harith bin Ghazi al-Nadhari,Shaykh
15,Analyzing the Impact of Muslims Targeting the Qurayshi Economy,26,6,Analyzing the Impact of Muslims Targeting the Qurayshi Economy,History,1,Abu Abdillah al-Moravid,NA
15,Jihad Upon Clear Insight,32,3,Jihad Upon Clear Insight,Ideology,1,Khalid Umar Batarfi,Shaykh
15,Jihadi Profiles: Khalid Sheikh Muhammad,35,1,Jihadi Profiles: Khalid Sheikh Muhammad,Eulogy/Martyrology,1,NA,NA
15,"O Knife Revolution, Head Towards America",36,2.5,"O Knife Revolution, Head Towards America",Ideology,1,Abu Awadh,NA
15,Timeline,39,0.5,Timeline,History,1,NA,NA
15,The American Dream,40,2,The American Dream,Advertisement,NA,NA,NA
15,Lone Jihad: Between Strategy and Tactic,42,3,Lone Jihad: Between Strategy and Tactic,Strategy,1,Nasser al-Anisi,Shaykh
15,Questions we should be asking,45,0.5,Questions we should be asking,News,1,NA,NA
15,Numbers Speak Louder,45,0.5,Numbers Speak Louder,News,1,NA,NA
15,Answer to question,45,0.5,Answer to question,Other,1,NA,NA
15,The Corner: Inside Obama's Rationalisty,46,2,The Corner: Inside Obama's Rationality,Opinion,1,Muhsin Ali,NA
15,Natural Calamities or Terror,48,2,Natural Calamities or Terror,Opinion,1,Muhammad al-Sanaani,NA
15,Exclusive Interview: Abu Khubeib as-Sudani,50,14,Exclusive Interview: Abu Khubeib as-Sudani,Interviews,1,Al-Malahem,NA
15,Be Merciful,51,1,Be Merciful,Advertisement,NA,NA,NA
15,Open Source Jihad,66,6,Professional Assassinations,How-To Guides,1,External Operations Team,NA
15,Open Source Jihad,72,18,Making Explosives for Home Assassinations,How-To Guides,1,AQ Chef,NA
16,Inspire Guide 4,4,6,Inspire Guide 4,Strategy,1,NA,NA
16,The Successful Pressure Cooker Bomb,10,2,The Successful Pressure Cooker Bomb,How-To Guides,1,NA,NA
16,Those Who Defy Injustice,12,4,Those Who Defy Injustice,Ideology,0,Ayman al-Zawahiri,Shaykh
16,A Thousand Times Greater than the USS-Cole,16,6,A Thousand Times Greater than the USS-Cole,Testimony,1,Khubeib as-Sudani,Shaykh
16,Echoes of Events,22,6,Echoes of Events,News,0,Various,NA
16,Rulings of Lone Jihad,28,6,Rulings of Lone Jihad,Ideology,1,Hammed al-Tameemi,Shaykh
16,The Issue of African Americans,34,2,The Issue of African Americans,History,1,NA,NA
16,A Message to Our Muslim Brothers in America,36,2,A Message to Our Muslim Brothers in America,Opinion,1,Abd Allah al-Murabit,NA
16,An Important Question,38,2,An Important Question,Advertisement,NA,NA,NA
16,The American Globalization is Falling,40,8,The American Globalization is Falling,Opinion,1,Ibrahim bin Hassan al-Asiri,NA
